Designator,Mid X,Mid Y,Rotation,Layer
J5,77.90052,-122.75,90.0,top
P0,56.5,-63.5,90.0,top
P1,56.5,-79.5,90.0,top
P2,83.51,-63.55,90.0,top
P3,83.55,-79.53,90.0,top
P4,57.46,-122.52,270.0,top
RP1,82.5456,-107.81,0.0,top
SW1,62.81,-105.31,90.0,top
