"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"XA1";"Arduino_Uno_Shield";1;"Arduino_Uno_Shield";;;
2;"J1";"PinSocket_1x15_P2.54mm_Vertical";1;"Conn_01x15_Female";;;
