Designator,Mid X,Mid Y,Layer,Rotation
C1,65.8,-67.65,top,135
C2,71.6,-76.2,top,-45
C3,72.7,-75.1,top,-45
J1,87.78,-84.7,top,-90
J2,87.78,-58.75,top,-90
J4,57.77,-62.23,top,0
J5,57.77,-78.23,top,0
J6,84.77,-62.23,top,0
J7,84.77,-78.23,top,0
R5,64.5,-62,top,180
U1,69.3,-71.4875,top,-45
Y1,61.951472,-68.498528,top,-135
